entity:sra_20210614_4_sample_id	metagenome_size_in_GB	metagenome_size_in_gbp	singlem_table	sra_accession
ERR5693841	1	1	undefined	ERR5693841
ERR5693844	1	2	undefined	ERR5693844
ERR5693845	1	3	undefined	ERR5693845
ERR5693846	1	2	undefined	ERR5693846
ERR5693847	1	1	undefined	ERR5693847
ERR5693848	1	2	undefined	ERR5693848
ERR5693849	1	2	undefined	ERR5693849
ERR5693850	1	2	undefined	ERR5693850
ERR5693851	1	2	undefined	ERR5693851
ERR5693856	1	1	undefined	ERR5693856
ERR5693858	1	2	undefined	ERR5693858
ERR5693859	1	1	undefined	ERR5693859
ERR5693860	1	2	undefined	ERR5693860
ERR5693861	1	1	undefined	ERR5693861
ERR5693862	1	2	undefined	ERR5693862
ERR5693863	1	2	undefined	ERR5693863
ERR5693867	1	1	undefined	ERR5693867
ERR5693869	1	1	undefined	ERR5693869
ERR5693870	1	1	undefined	ERR5693870
ERR5693878	1	2	undefined	ERR5693878
ERR5693879	1	2	undefined	ERR5693879
ERR5693880	1	1	undefined	ERR5693880
ERR5693883	1	2	undefined	ERR5693883
ERR5897769	1	1	undefined	ERR5897769
ERR5897770	1	1	undefined	ERR5897770
ERR5897771	1	4	undefined	ERR5897771
ERR5897773	1	1	undefined	ERR5897773
ERR5897781	1	1	undefined	ERR5897781
ERR5897785	1	1	undefined	ERR5897785
ERR5897786	1	1	undefined	ERR5897786
ERR5897787	1	1	undefined	ERR5897787
ERR5897789	1	1	undefined	ERR5897789
ERR5897792	1	1	undefined	ERR5897792
ERR5897794	1	4	undefined	ERR5897794
ERR5897796	1	1	undefined	ERR5897796
ERR599030	21	35	undefined	ERR599030
ERR844243	1	3	undefined	ERR844243
ERR844247	1	1	undefined	ERR844247
ERR844248	1	1	undefined	ERR844248
ERR844249	1	1	undefined	ERR844249
ERR844250	1	3	undefined	ERR844250
ERR844251	1	2	undefined	ERR844251
ERR844252	5	16	undefined	ERR844252
ERR844253	1	1	undefined	ERR844253
ERR844257	1	1	undefined	ERR844257
ERR844258	4	8	undefined	ERR844258
ERR844259	1	1	undefined	ERR844259
ERR844263	1	1	undefined	ERR844263
ERR844264	1	1	undefined	ERR844264
ERR844269	1	1	undefined	ERR844269
ERR844271	1	2	undefined	ERR844271
ERR844273	1	2	undefined	ERR844273
ERR844274	1	2	undefined	ERR844274
ERR844277	1	1	undefined	ERR844277
ERR844279	1	1	undefined	ERR844279
ERR844280	1	1	undefined	ERR844280
ERR844283	1	2	undefined	ERR844283
ERR844284	1	1	undefined	ERR844284
ERR844288	1	1	undefined	ERR844288
ERR844289	1	1	undefined	ERR844289
ERR844290	2	4	undefined	ERR844290
ERR844291	1	1	undefined	ERR844291
ERR844292	1	1	undefined	ERR844292
ERR844293	1	1	undefined	ERR844293
ERR844294	1	1	undefined	ERR844294
ERR844295	1	1	undefined	ERR844295
ERR844297	1	1	undefined	ERR844297
ERR844298	8	20	undefined	ERR844298
ERR844300	4	11	undefined	ERR844300
ERR844302	8	23	undefined	ERR844302
ERR844304	2	5	undefined	ERR844304
ERR844305	2	4	undefined	ERR844305
ERR844307	2	4	undefined	ERR844307
ERR844308	5	14	undefined	ERR844308
ERR844309	1	1	undefined	ERR844309
ERR844310	1	1	undefined	ERR844310
ERR844312	1	1	undefined	ERR844312
ERR844313	3	10	undefined	ERR844313
ERR844314	1	1	undefined	ERR844314
ERR844316	1	2	undefined	ERR844316
ERR844317	3	7	undefined	ERR844317
ERR844319	1	1	undefined	ERR844319
ERR844322	1	3	undefined	ERR844322
ERR844323	1	2	undefined	ERR844323
ERR844326	1	1	undefined	ERR844326
ERR844327	1	1	undefined	ERR844327
ERR844331	1	1	undefined	ERR844331
ERR844333	1	1	undefined	ERR844333
ERR844336	1	3	undefined	ERR844336
ERR844337	1	3	undefined	ERR844337
ERR844343	1	2	undefined	ERR844343
ERR844344	2	3	undefined	ERR844344
ERR868348	27	40	undefined	ERR868348
ERR868391	23	35	undefined	ERR868391
SRR059460	37	7	undefined	SRR059460
SRR060364	45	8	undefined	SRR060364
SRR10988543	63	154	undefined	SRR10988543
SRR11088415	24	41	undefined	SRR11088415
SRR11119766	21	71	undefined	SRR11119766
SRR11124980	1	1	undefined	SRR11124980
SRR11124989	1	1	undefined	SRR11124989
SRR11183411	1	2	undefined	SRR11183411
SRR11412873	3	7	undefined	SRR11412873
SRR1161251	1	1	undefined	SRR1161251
SRR11783954	4	13	undefined	SRR11783954
SRR11783956	3	9	undefined	SRR11783956
SRR12113383	28	93	undefined	SRR12113383
SRR12113385	36	121	undefined	SRR12113385
SRR12113386	38	117	undefined	SRR12113386
SRR12113390	39	132	undefined	SRR12113390
SRR12113412	32	108	undefined	SRR12113412
SRR12113423	36	112	undefined	SRR12113423
SRR12113434	51	173	undefined	SRR12113434
SRR12113435	49	153	undefined	SRR12113435
SRR12265893	1	2	undefined	SRR12265893
SRR12316205	24	39	undefined	SRR12316205
SRR12479888	2	6	undefined	SRR12479888
SRR12958503	4	13	undefined	SRR12958503
SRR12958677	6	18	undefined	SRR12958677
SRR12958864	1	2	undefined	SRR12958864
SRR1297186	24	36	undefined	SRR1297186
SRR13002031	50	176	undefined	SRR13002031
SRR13002032	25	83	undefined	SRR13002032
SRR13318515	26	86	undefined	SRR13318515
SRR13503052	2	5	undefined	SRR13503052
SRR13892589	25	64	undefined	SRR13892589
SRR13892590	25	64	undefined	SRR13892590
SRR13892591	25	64	undefined	SRR13892591
SRR13892593	26	74	undefined	SRR13892593
SRR13892594	29	78	undefined	SRR13892594
SRR13892595	25	63	undefined	SRR13892595
SRR13892597	24	68	undefined	SRR13892597
SRR13892598	26	73	undefined	SRR13892598
SRR13892600	25	70	undefined	SRR13892600
SRR13892602	24	62	undefined	SRR13892602
SRR13892603	25	66	undefined	SRR13892603
SRR13892604	26	67	undefined	SRR13892604
SRR13892605	25	64	undefined	SRR13892605
SRR13892606	26	64	undefined	SRR13892606
SRR1427043	1	1	undefined	SRR1427043
SRR1427045	1	1	undefined	SRR1427045
SRR14699980	32	101	undefined	SRR14699980
SRR14752261	22	50	undefined	SRR14752261
SRR2090153	37	62	undefined	SRR2090153
SRR2090159	35	54	undefined	SRR2090159
SRR2919420	3	5	undefined	SRR2919420
SRR3135304	2	3	undefined	SRR3135304
SRR3190980	2	3	undefined	SRR3190980
SRR3262381	1	1	undefined	SRR3262381
SRR341589	1	3	undefined	SRR341589
SRR3485037	1	1	undefined	SRR3485037
SRR3642413	1	1	undefined	SRR3642413
SRR4449258	66	159	undefined	SRR4449258
SRR5079465	1	1	undefined	SRR5079465
SRR532189	1	1	undefined	SRR532189
SRR5405611	5	8	undefined	SRR5405611
SRR5405689	3	4	undefined	SRR5405689
SRR5405829	2	4	undefined	SRR5405829
SRR5405845	2	4	undefined	SRR5405845
SRR5581547	3	6	undefined	SRR5581547
SRR5788071	38	98	undefined	SRR5788071
SRR5788306	22	54	undefined	SRR5788306
SRR6028366	3	4	undefined	SRR6028366
SRR6217947	1	2	undefined	SRR6217947
SRR6217948	1	1	undefined	SRR6217948
SRR7617319	8	16	undefined	SRR7617319
SRR7617320	13	25	undefined	SRR7617320
SRR7617323	13	23	undefined	SRR7617323
SRR7617324	10	18	undefined	SRR7617324
SRR7617325	8	16	undefined	SRR7617325
SRR7617326	4	7	undefined	SRR7617326
SRR7617327	10	20	undefined	SRR7617327
SRR7617328	10	18	undefined	SRR7617328
SRR7617329	14	25	undefined	SRR7617329
SRR7617330	9	17	undefined	SRR7617330
SRR7617331	13	25	undefined	SRR7617331
SRR7617338	13	23	undefined	SRR7617338
SRR7617339	7	12	undefined	SRR7617339
SRR7617345	17	27	undefined	SRR7617345
SRR7617346	11	22	undefined	SRR7617346
SRR7617348	10	18	undefined	SRR7617348
SRR7617350	11	18	undefined	SRR7617350
SRR7617353	8	16	undefined	SRR7617353
SRR7632640	3	8	undefined	SRR7632640
SRR7632647	4	12	undefined	SRR7632647
SRR7632675	4	9	undefined	SRR7632675
SRR7648273	4	8	undefined	SRR7648273
SRR7648285	4	8	undefined	SRR7648285
SRR7648286	3	8	undefined	SRR7648286
SRR7648287	3	8	undefined	SRR7648287
SRR7648291	3	7	undefined	SRR7648291
SRR7648292	4	8	undefined	SRR7648292
SRR7648293	3	8	undefined	SRR7648293
SRR7648295	4	9	undefined	SRR7648295
SRR7648298	3	8	undefined	SRR7648298
SRR7648327	5	11	undefined	SRR7648327
SRR7648332	3	8	undefined	SRR7648332
SRR7648333	4	9	undefined	SRR7648333
SRR7648336	5	12	undefined	SRR7648336
SRR7648341	4	9	undefined	SRR7648341
SRR7648345	4	9	undefined	SRR7648345
SRR7648347	4	9	undefined	SRR7648347
SRR7648348	3	8	undefined	SRR7648348
SRR7648349	3	7	undefined	SRR7648349
SRR7648350	4	9	undefined	SRR7648350
SRR7668191	4	10	undefined	SRR7668191
SRR7867194	1	2	undefined	SRR7867194
SRR7943254	8	24	undefined	SRR7943254
SRR7943301	8	26	undefined	SRR7943301
SRR8840928	1	4	undefined	SRR8840928
