entity:soil3_sample_id	metagenome_size_in_gbp	random_number	singlem_table	sra_accession
DRR001459	4	586	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/c8668a2c-c29b-4787-96c4-442c1c066971/call-singlem/DRR001459.singlem.json.gz	DRR001459
DRR001461	2	547	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/be99713b-a0b1-4116-911b-024cdf35ed7c/call-singlem/DRR001461.singlem.json.gz	DRR001461
DRR128717	1	722	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/442d43be-6a1b-477d-a511-6da577564a71/call-singlem/DRR128717.singlem.json.gz	DRR128717
ERR1877650	1	968	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/f56ba35e-83e2-4c3b-b981-9e7784d238b2/call-singlem/ERR1877650.singlem.json.gz	ERR1877650
ERR1877670	3	534	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/127c77d8-98a6-41b4-8d0a-49fa43f97f9c/call-singlem/ERR1877670.singlem.json.gz	ERR1877670
ERR1877673	1	403	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/7e95737a-4f15-46c2-8e09-318902eaa605/call-singlem/ERR1877673.singlem.json.gz	ERR1877673
ERR1877677	1	830	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/46bd830d-8a6a-4b27-8aba-17acd66777e8/call-singlem/ERR1877677.singlem.json.gz	ERR1877677
ERR1877692	1	56	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/09dc32dd-2333-451e-bdfc-61a53124a6ec/call-singlem/ERR1877692.singlem.json.gz	ERR1877692
ERR1877696	4	325	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/04453e18-dcbe-4c0e-a49c-1b9c03b5eec5/call-singlem/ERR1877696.singlem.json.gz	ERR1877696
ERR1877699	1	240	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/5ddc696a-138a-4a7f-b0c8-0550d5bbb9a0/call-singlem/ERR1877699.singlem.json.gz	ERR1877699
ERR1877704	1	956	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/35faf0f2-ef43-4364-8724-335631857127/call-singlem/ERR1877704.singlem.json.gz	ERR1877704
ERR1877706	1	549	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/8e7fd37e-86d0-4d65-8d4a-80e3bdafb96e/call-singlem/ERR1877706.singlem.json.gz	ERR1877706
ERR1877709	1	260	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/de94bd36-3054-4336-ac53-76a2f1bfc98b/call-singlem/ERR1877709.singlem.json.gz	ERR1877709
ERR1877710	1	259	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/7d5238cf-a56d-47bc-a18d-63196c94eb22/call-singlem/ERR1877710.singlem.json.gz	ERR1877710
ERR1877721	1	204	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/d0b7c26d-3eda-4b12-9f23-92bf58e9248d/call-singlem/ERR1877721.singlem.json.gz	ERR1877721
ERR1877728	1	447	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/191db20e-15a7-4bcc-ac5a-d97adc341313/call-singlem/ERR1877728.singlem.json.gz	ERR1877728
ERR1877737	1	726	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/363b7c10-b95c-45aa-a876-18d1965ec9d3/call-singlem/ERR1877737.singlem.json.gz	ERR1877737
ERR1877739	1	967	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/9a392450-9e96-4ad0-b0dd-e5385a42c367/call-singlem/ERR1877739.singlem.json.gz	ERR1877739
ERR1877742	1	803	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/892fae45-675c-4e51-8f7f-0a56493ea960/call-singlem/ERR1877742.singlem.json.gz	ERR1877742
ERR1877745	1	892	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/ecb954b2-5ec0-4c44-8f70-faf2afadd0f8/call-singlem/ERR1877745.singlem.json.gz	ERR1877745
ERR1877759	1	802	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/9124b942-b075-4639-91e7-c9dd94229ef4/call-singlem/ERR1877759.singlem.json.gz	ERR1877759
ERR1877769	2	86	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/f2a9fe04-3aa1-44d8-b87b-2dbce1db0997/call-singlem/ERR1877769.singlem.json.gz	ERR1877769
ERR1877772	1	77	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/788fc172-194b-4edc-ad97-c0f254288a3f/SingleM_SRA/9cf76a10-a335-4eb0-a08f-b6d01e319a2f/call-singlem/ERR1877772.singlem.json.gz	ERR1877772
