entity:soil4_sample_id	metagenome_size_in_gbp	singlem_table	sra_accession
SRR11482347	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/fb671c8c-58d6-42e4-9f1f-b6c660660293/call-singlem/SRR11482347.singlem.json.gz	SRR11482347
SRR11482349	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/bed65881-29c3-4dce-9448-b62e1cf96273/call-singlem/SRR11482349.singlem.json.gz	SRR11482349
SRR11482351	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/e36622b1-9676-45d0-8699-c46fc90e7e37/call-singlem/SRR11482351.singlem.json.gz	SRR11482351
SRR11482352	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/7d83ba0b-82c6-4d46-84e1-f459afbe8f2f/call-singlem/SRR11482352.singlem.json.gz	SRR11482352
SRR11482354	21	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2965b464-c288-45be-8541-cea7d5ea834f/call-singlem/SRR11482354.singlem.json.gz	SRR11482354
SRR11482355	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/77f20496-a908-4fd0-8b8b-3006d5d727be/call-singlem/attempt-2/SRR11482355.singlem.json.gz	SRR11482355
SRR11482356	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f201cfe1-ff85-4f2c-8f79-0fa4bfdc40e2/call-singlem/SRR11482356.singlem.json.gz	SRR11482356
SRR11482357	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/5d0c23d0-3cce-4201-b5cc-6319c608ff21/call-singlem/SRR11482357.singlem.json.gz	SRR11482357
SRR11482358	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f48fdcb2-60ae-4c38-81d3-0cf8b41a54ff/call-singlem/SRR11482358.singlem.json.gz	SRR11482358
SRR11482359	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/addeaa04-e5d8-4b56-8503-40dc13617595/call-singlem/SRR11482359.singlem.json.gz	SRR11482359
SRR11482360	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/975c3b86-f18f-440f-a0ea-524e21326df2/call-singlem/SRR11482360.singlem.json.gz	SRR11482360
SRR11482361	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/e539be4c-51fd-4344-8054-a6b3b1a6df9b/call-singlem/attempt-2/SRR11482361.singlem.json.gz	SRR11482361
SRR11482362	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2e65dd32-5415-4ad0-9b1c-8bd9667072eb/call-singlem/SRR11482362.singlem.json.gz	SRR11482362
SRR11482364	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/3cafec7f-920a-4709-897a-0e2b64ebd3c6/call-singlem/SRR11482364.singlem.json.gz	SRR11482364
SRR11482365	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f2b1477e-31a5-4cf8-8b79-8805de90be62/call-singlem/SRR11482365.singlem.json.gz	SRR11482365
SRR11482366	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/13f2c3d7-9fde-4b7f-9d4e-cecb9f3c31c6/call-singlem/SRR11482366.singlem.json.gz	SRR11482366
SRR11482367	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b3384d8b-4676-473f-a05b-32285ac3be21/call-singlem/attempt-2/SRR11482367.singlem.json.gz	SRR11482367
SRR11482368	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ddb7eca3-5792-40ec-b0e0-04c3d095ed62/call-singlem/attempt-2/SRR11482368.singlem.json.gz	SRR11482368
SRR11482369	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/991c33e0-bf7e-4ddd-ba17-a351c16a0ecf/call-singlem/SRR11482369.singlem.json.gz	SRR11482369
SRR11482370	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/68a26854-62a4-44f0-960f-0418438d4370/call-singlem/attempt-2/SRR11482370.singlem.json.gz	SRR11482370
SRR11482371	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/3140cf04-e9db-4ff4-8725-55f3c87a7af4/call-singlem/attempt-3/SRR11482371.singlem.json.gz	SRR11482371
SRR11482372	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f7ea1f27-bd44-460a-b5b4-c6593e8c3b17/call-singlem/SRR11482372.singlem.json.gz	SRR11482372
SRR11482373	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ebcc6e5d-e3fc-40c8-99b3-17ab29e14255/call-singlem/SRR11482373.singlem.json.gz	SRR11482373
SRR11482374	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/856daabb-ec45-4d74-89f3-7f239be9595e/call-singlem/SRR11482374.singlem.json.gz	SRR11482374
SRR11482375	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d5d30042-ca63-45f3-9acd-a5e4510e744c/call-singlem/SRR11482375.singlem.json.gz	SRR11482375
SRR11482376	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/a1fbff1a-372e-4083-8d63-d000831c8b2a/call-singlem/attempt-2/SRR11482376.singlem.json.gz	SRR11482376
SRR11482377	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/350e1db3-db9d-46d1-8bf9-ae5ec32b0e89/call-singlem/SRR11482377.singlem.json.gz	SRR11482377
SRR11482379	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/15e584d9-d057-4e57-8e10-80667174aebc/call-singlem/attempt-3/SRR11482379.singlem.json.gz	SRR11482379
SRR11482380	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/70f15d4f-28bf-4482-80f1-1c35de19bbb7/call-singlem/SRR11482380.singlem.json.gz	SRR11482380
SRR11482381	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/daf8a1dd-7694-4cbf-a0db-3824e598e3a6/call-singlem/SRR11482381.singlem.json.gz	SRR11482381
SRR11482382	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/aa48c704-f26f-4bf1-9815-ecd4e285baa9/call-singlem/attempt-2/SRR11482382.singlem.json.gz	SRR11482382
SRR11482383	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/a3e540e9-9be5-42a8-b481-95382b13c4df/call-singlem/SRR11482383.singlem.json.gz	SRR11482383
SRR11482384	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b3079c62-bdfc-40c5-a2d6-97c5c5ca875c/call-singlem/SRR11482384.singlem.json.gz	SRR11482384
SRR11482385	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/475447a4-40bd-40e2-acbd-35d8a10a146b/call-singlem/SRR11482385.singlem.json.gz	SRR11482385
SRR11482386	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/cf38a933-cc51-49e8-b756-37ac910dfcfc/call-singlem/SRR11482386.singlem.json.gz	SRR11482386
SRR11482387	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/fdb114d8-722e-4188-bd02-b5fdb82987f3/call-singlem/SRR11482387.singlem.json.gz	SRR11482387
SRR11482390	6	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/10f44fed-a226-47d3-8435-594c1abeb04b/call-singlem/SRR11482390.singlem.json.gz	SRR11482390
SRR11482391	1	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/bcb44715-9fc1-437f-a896-4512d0f82b67/call-singlem/SRR11482391.singlem.json.gz	SRR11482391
SRR11482392	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/953734f5-88de-452f-89eb-96e2cb5c381c/call-singlem/SRR11482392.singlem.json.gz	SRR11482392
SRR11482393	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ae0277e1-088a-42cb-890b-cdfbc9dd6503/call-singlem/attempt-2/SRR11482393.singlem.json.gz	SRR11482393
SRR11482394	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2b0de2b9-9887-46bc-9a82-52492651b62f/call-singlem/SRR11482394.singlem.json.gz	SRR11482394
SRR11482395	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/732d0fdc-e699-4773-a33b-a046caad197d/call-singlem/SRR11482395.singlem.json.gz	SRR11482395
SRR11482396	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b3d82b08-409b-4319-b30b-ebf49e4df72d/call-singlem/SRR11482396.singlem.json.gz	SRR11482396
SRR11482397	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/fdbc0e3d-1112-46e7-904a-47824ede1c70/call-singlem/SRR11482397.singlem.json.gz	SRR11482397
SRR11482398	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/6674c954-53a7-4154-be66-90a4438a861e/call-singlem/SRR11482398.singlem.json.gz	SRR11482398
SRR11558094	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/bf896b0c-65a2-4cb2-bebc-2a5d86e5d383/call-singlem/attempt-4/SRR11558094.singlem.json.gz	SRR11558094
SRR11558122	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/758c218e-a607-497c-9818-3d4401cdb39d/call-singlem/SRR11558122.singlem.json.gz	SRR11558122
SRR11558123	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/c0e04170-523e-49f7-b3e9-f8118408757e/call-singlem/attempt-2/SRR11558123.singlem.json.gz	SRR11558123
SRR11558281	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/83402bc5-b1bc-477b-9d78-4bcb92efc2a5/call-singlem/SRR11558281.singlem.json.gz	SRR11558281
SRR11558288	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/465118e5-a193-4a9f-b13f-8132f9595239/call-singlem/attempt-2/SRR11558288.singlem.json.gz	SRR11558288
SRR11558289	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/997a22f1-3684-4466-87b2-399c5f4c8d0b/call-singlem/SRR11558289.singlem.json.gz	SRR11558289
SRR11558290	11	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2a6f0e8e-fd2d-4192-b860-6605321a28b0/call-singlem/SRR11558290.singlem.json.gz	SRR11558290
SRR11558291	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/3a4ea049-6ab7-4dd6-8eb4-af460f238e26/call-singlem/SRR11558291.singlem.json.gz	SRR11558291
SRR11558292	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/c8025fed-912c-4e9a-b992-312452dfad8a/call-singlem/SRR11558292.singlem.json.gz	SRR11558292
SRR11558293	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/8d82aaad-19d1-4612-a7af-70ef5af42e69/call-singlem/attempt-2/SRR11558293.singlem.json.gz	SRR11558293
SRR11558355	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f12fed60-c5a1-4024-bf89-6553125d9cd4/call-singlem/SRR11558355.singlem.json.gz	SRR11558355
SRR11558356	11	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/7e174145-5144-4b76-9a4e-a7652f92f511/call-singlem/SRR11558356.singlem.json.gz	SRR11558356
SRR11558357	14	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/e007078e-2b41-40e5-a9f9-18b2a4b1ddf8/call-singlem/SRR11558357.singlem.json.gz	SRR11558357
SRR11558358	11	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/0d631116-b927-4dc8-9a9c-e7ad1e58a442/call-singlem/SRR11558358.singlem.json.gz	SRR11558358
SRR11558359	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/e68290a1-fdff-4fdb-9187-4b516da4d921/call-singlem/SRR11558359.singlem.json.gz	SRR11558359
SRR11558360	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/383b20e4-ba58-4367-b796-1b862fcde719/call-singlem/attempt-2/SRR11558360.singlem.json.gz	SRR11558360
SRR11558361	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/95a531ad-9b05-4b12-89d4-a4bf1397c753/call-singlem/SRR11558361.singlem.json.gz	SRR11558361
SRR11558362	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/aed56830-3a87-42b3-827c-f652cc24400c/call-singlem/SRR11558362.singlem.json.gz	SRR11558362
SRR11567157	25	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/6c7019f7-e077-47f9-83df-98672a637e0d/call-singlem/attempt-2/SRR11567157.singlem.json.gz	SRR11567157
SRR11567158	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d4e2b116-4303-4bcd-9ebb-3f8691e84d90/call-singlem/attempt-2/SRR11567158.singlem.json.gz	SRR11567158
SRR11567260	32	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b9ebf284-5043-43ee-89c7-c8c86c179495/call-singlem/SRR11567260.singlem.json.gz	SRR11567260
SRR11582139	8	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/309736f1-9b11-4f47-bd44-180455e24a4c/call-singlem/SRR11582139.singlem.json.gz	SRR11582139
SRR11582140	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/23ce5021-3dbe-4d6d-81d5-8e89909f2d2a/call-singlem/SRR11582140.singlem.json.gz	SRR11582140
SRR11582141	4	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/83d02b1e-5091-4cd8-9eff-2aaacfc15552/call-singlem/attempt-2/SRR11582141.singlem.json.gz	SRR11582141
SRR11582142	4	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/4a7f5697-2ab6-4416-b9a3-e2bad6318e9e/call-singlem/SRR11582142.singlem.json.gz	SRR11582142
SRR11582143	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ffcab67f-a7b6-4ad0-b8dc-38fb1bd6bf22/call-singlem/SRR11582143.singlem.json.gz	SRR11582143
SRR11582144	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/0a3f2e5a-f6b2-441d-be4f-0b941335482a/call-singlem/SRR11582144.singlem.json.gz	SRR11582144
SRR11582145	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/741fceaa-5437-49f1-8fe0-fe12635cb1f9/call-singlem/SRR11582145.singlem.json.gz	SRR11582145
SRR11582146	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/9f5e199f-2a3e-4f58-93fe-c695f583cfa9/call-singlem/SRR11582146.singlem.json.gz	SRR11582146
SRR11582147	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/52eae5c4-fbd2-4c5c-bd30-fdea8d749199/call-singlem/SRR11582147.singlem.json.gz	SRR11582147
SRR11582149	4	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/5bb16828-8f05-47a5-9a9e-7202631e9cc4/call-singlem/SRR11582149.singlem.json.gz	SRR11582149
SRR11582150	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/60b52622-c6cf-4f4a-a8b3-e4d290b33ba9/call-singlem/SRR11582150.singlem.json.gz	SRR11582150
SRR11582151	8	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/508d6cd4-47cd-4cdf-b3f2-373f63e2b691/call-singlem/SRR11582151.singlem.json.gz	SRR11582151
SRR11582153	2	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/5481addb-78eb-4a7e-a328-bbaeffb7e5ca/call-singlem/SRR11582153.singlem.json.gz	SRR11582153
SRR11582154	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/9d9f1a53-52e5-42d3-80fa-a0d1039d444b/call-singlem/SRR11582154.singlem.json.gz	SRR11582154
SRR11582157	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/342ba161-04b0-41d7-b84c-c0a28c9e58f5/call-singlem/SRR11582157.singlem.json.gz	SRR11582157
SRR11582158	6	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2a61a0b0-333c-4cdb-b4d1-18071def00b9/call-singlem/SRR11582158.singlem.json.gz	SRR11582158
SRR11582159	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/56c43371-6594-47ed-bba8-bb95e66eafaf/call-singlem/SRR11582159.singlem.json.gz	SRR11582159
SRR11582160	7	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/e0fbc7fa-6cb0-435b-86f9-7532e33cd5b0/call-singlem/SRR11582160.singlem.json.gz	SRR11582160
SRR11582161	24	undefined	SRR11582161
SRR11582162	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/9460fcb2-9697-4f44-8d4f-b38191e83782/call-singlem/SRR11582162.singlem.json.gz	SRR11582162
SRR11582163	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/571fe2d2-a77f-490e-a873-8d92c1fac623/call-singlem/SRR11582163.singlem.json.gz	SRR11582163
SRR11582164	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/81a75dbf-7e94-44c7-b89b-647e569d9074/call-singlem/SRR11582164.singlem.json.gz	SRR11582164
SRR11582165	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/76db55f0-cb04-4c09-a67a-65b86812ca8d/call-singlem/SRR11582165.singlem.json.gz	SRR11582165
SRR11582167	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/161a6bbb-5a5f-47a6-a4ca-fa2ce9277841/call-singlem/SRR11582167.singlem.json.gz	SRR11582167
SRR11582168	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/822650d1-45fc-49af-ac68-eaa536ca8db2/call-singlem/SRR11582168.singlem.json.gz	SRR11582168
SRR11582169	8	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/6ee1baa9-e30a-48df-a34c-bddf27a3412b/call-singlem/SRR11582169.singlem.json.gz	SRR11582169
SRR11582170	8	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b7bfce71-82ed-4c26-938f-cc8e15b06650/call-singlem/SRR11582170.singlem.json.gz	SRR11582170
SRR11582171	4	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/50de9dd5-e2cd-44d1-aff4-99392492fc7f/call-singlem/SRR11582171.singlem.json.gz	SRR11582171
SRR11582172	8	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/675662c5-4453-4ca0-964b-ee6a086c6291/call-singlem/SRR11582172.singlem.json.gz	SRR11582172
SRR11582173	5	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b58b08c6-fd26-49af-bef3-0f96d4220956/call-singlem/attempt-2/SRR11582173.singlem.json.gz	SRR11582173
SRR11593346	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d31f0132-a44c-44b8-b128-6c420653366d/call-singlem/SRR11593346.singlem.json.gz	SRR11593346
SRR11593348	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/19a1e912-4ed2-4f4c-90c2-abbf3a16f4b5/call-singlem/SRR11593348.singlem.json.gz	SRR11593348
SRR11593349	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/15af9874-ebd3-4a30-8bb1-326b3b2457ac/call-singlem/attempt-2/SRR11593349.singlem.json.gz	SRR11593349
SRR11594358	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/c6087aff-f285-4e12-994e-d38cb3f80960/call-singlem/SRR11594358.singlem.json.gz	SRR11594358
SRR11594395	10	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/bfb92f0e-6374-40b8-af23-c9b913b800a6/call-singlem/SRR11594395.singlem.json.gz	SRR11594395
SRR11594479	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/1b1527d5-639a-4040-8b80-c2ffe156459f/call-singlem/SRR11594479.singlem.json.gz	SRR11594479
SRR11600421	11	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/78fca673-fc99-475c-9440-1412d945e9a1/call-singlem/SRR11600421.singlem.json.gz	SRR11600421
SRR11600423	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/fb88236f-d346-4890-930a-68992d6b4a69/call-singlem/SRR11600423.singlem.json.gz	SRR11600423
SRR11609031	130	undefined	SRR11609031
SRR11613400	58	undefined	SRR11613400
SRR11613413	49	undefined	SRR11613413
SRR11615638	49	undefined	SRR11615638
SRR11622287	46	undefined	SRR11622287
SRR11696408	26	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ba604951-a0e8-4ca7-86c4-f5c0ffafcdb0/call-singlem/SRR11696408.singlem.json.gz	SRR11696408
SRR11696409	13	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/a83b3658-dd69-4a69-8ed7-f7ab89075b68/call-singlem/SRR11696409.singlem.json.gz	SRR11696409
SRR11696423	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2c4e3164-4d3b-4b01-a7aa-e696d59d8eb7/call-singlem/SRR11696423.singlem.json.gz	SRR11696423
