entity:soil4_sample_id	metagenome_size_in_gbp	singlem_table	sra_accession
ERR163133	2	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/1cd7c4a6-6b3b-4b6b-9381-9c9e3d74085a/call-singlem/ERR163133.singlem.json.gz	ERR163133
ERR1700675	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/daf9aafe-3f3f-4f9b-8918-3ca97d6a1411/call-singlem/ERR1700675.singlem.json.gz	ERR1700675
ERR1700677	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/518065f8-6c68-467e-b096-64752ab44933/call-singlem/ERR1700677.singlem.json.gz	ERR1700677
ERR1700679	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d6e8075f-65c1-4eb6-a839-bd8d0b9ec89c/call-singlem/attempt-4/ERR1700679.singlem.json.gz	ERR1700679
ERR1700681	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f8da2827-3f56-446c-b018-8a48af800f6d/call-singlem/ERR1700681.singlem.json.gz	ERR1700681
ERR1700682	19	undefined	ERR1700682
ERR1700685	15	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/40e6b5e8-c16c-4e91-9988-23c70d32ecb5/call-singlem/ERR1700685.singlem.json.gz	ERR1700685
ERR1700686	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/2f19b4de-ae47-4971-bc79-5dbca54e883a/call-singlem/ERR1700686.singlem.json.gz	ERR1700686
ERR1700689	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/59bf1789-6085-41ac-820a-a2064228cb2d/call-singlem/ERR1700689.singlem.json.gz	ERR1700689
ERR1700690	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/f4ce5d4c-b3f2-408f-99d0-3f130ca29200/call-singlem/ERR1700690.singlem.json.gz	ERR1700690
ERR1700692	17	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/92ac090f-d0b2-4e31-82cb-6812dd8d0b80/call-singlem/ERR1700692.singlem.json.gz	ERR1700692
ERR1700693	20	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/34dbbb35-ca5f-4bbc-ac26-edde16eb99e3/call-singlem/ERR1700693.singlem.json.gz	ERR1700693
ERR1700694	18	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/05d5015f-387c-4784-864f-87671c305897/call-singlem/ERR1700694.singlem.json.gz	ERR1700694
ERR1700695	11	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/00f4a40d-7c59-4f9b-a4ea-22fa6b345810/call-singlem/ERR1700695.singlem.json.gz	ERR1700695
ERR1700696	8	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/d5546f0c-89e4-4f47-9e0f-901c297e4122/call-singlem/ERR1700696.singlem.json.gz	ERR1700696
ERR1700697	11	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/34eefd53-17f0-4e72-90d1-ec805046fb80/call-singlem/attempt-2/ERR1700697.singlem.json.gz	ERR1700697
ERR1700700	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/657792b0-99bb-4642-9555-512e371d44b1/call-singlem/ERR1700700.singlem.json.gz	ERR1700700
ERR1700701	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/99d8756f-de3e-4f70-af13-d78ddd537904/call-singlem/ERR1700701.singlem.json.gz	ERR1700701
ERR1700706	7	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/1c24ea4e-1fb6-4bcb-becd-714492f4374f/call-singlem/ERR1700706.singlem.json.gz	ERR1700706
ERR1700707	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/4dc6a225-484c-413f-becf-eb670842251c/call-singlem/attempt-2/ERR1700707.singlem.json.gz	ERR1700707
ERR1700708	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/6d4ae081-6edb-4617-b8e9-c5fe0794323a/call-singlem/ERR1700708.singlem.json.gz	ERR1700708
ERR1700710	12	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/cb937e4a-91e2-41cc-ba30-dbce54de7b50/call-singlem/attempt-2/ERR1700710.singlem.json.gz	ERR1700710
ERR1700711	11	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/9cc412ef-3b0e-4fda-a17a-ddf8b43c49f3/call-singlem/attempt-2/ERR1700711.singlem.json.gz	ERR1700711
ERR1700712	19	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/9bfadd5c-2301-441d-b7e5-4cf8f5a19c72/call-singlem/ERR1700712.singlem.json.gz	ERR1700712
ERR1700713	9	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/ef8316f1-68f2-4995-9d4a-be84c701620a/call-singlem/ERR1700713.singlem.json.gz	ERR1700713
ERR1700717	8	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/b35fb25f-4513-4a4b-ba77-77eef984770c/call-singlem/ERR1700717.singlem.json.gz	ERR1700717
ERR1700719	16	gs://fc-e68b90c4-861d-4507-8118-e88d1e871567/f243324e-8497-4a3b-be2f-7309866a85dd/SingleM_SRA/aea45970-c6c7-48fd-833f-7af616c99d24/call-singlem/ERR1700719.singlem.json.gz	ERR1700719
